mac_fill,age_score,flood_pressure
1.6,0.0,0.099
1.6,0.0,0.101
1.6,0.0,0.104
1.6,0.0,0.106
1.7,0.059,0.084
1.7,0.0,0.087
1.7,0.0,0.089
1.7,0.0,0.092
1.7,0.0,0.095
1.7,0.0,0.095
1.7,0.0,0.097
1.8,0.056,0.092
1.8,0.0,0.095
1.8,0.0,0.098
1.9,0.053,0.092
1.9,0.0,0.095
1.9,0.0,0.101
1.9,0.0,0.103
1.9,0.0,0.106
1.9,0.0,0.108
1.9,0.0,0.11
1.9,0.0,0.113
1.9,0.0,0.116
1.9,0.0,0.118
1.9,0.0,0.094
1.9,0.0,0.096
1.9,0.0,0.098
1.9,0.0,0.1
1.9,0.0,0.102
1.9,0.0,0.104
1.9,0.0,0.106
1.9,0.0,0.108
1.9,0.0,0.111
1.9,0.0,0.113
1.9,0.0,0.079
1.9,0.0,0.081
1.9,0.0,0.084
1.9,0.0,0.086
1.9,0.0,0.088
1.9,0.0,0.09
1.9,0.0,0.092
1.9,0.0,0.095
1.9,0.0,0.097
1.9,0.0,0.099
2.0,0.05,0.055
2.0,0.0,0.056
2.0,0.0,0.058
2.0,0.0,0.06
2.0,0.0,0.062
2.0,0.0,0.064
2.0,0.0,0.066
2.0,0.0,0.068
2.0,0.0,0.07
2.0,0.0,0.053
2.0,0.0,0.055
2.0,0.0,0.057
2.0,0.0,0.06
2.0,0.0,0.062
2.0,0.0,0.064
2.0,0.0,0.065
2.2,0.091,0.062
2.2,0.0,0.064
2.2,0.0,0.067
2.2,0.0,0.037
2.2,0.0,0.039
2.2,0.0,0.041
2.2,0.0,0.043
2.2,0.0,0.046
2.2,0.0,0.047
2.2,0.0,0.049
2.2,0.0,0.051
2.2,0.0,0.053
2.2,0.0,0.055
2.2,0.0,0.055
2.2,0.0,0.057
2.2,0.0,0.059
2.2,0.0,0.058
2.2,0.0,0.06
2.2,0.0,0.062
2.2,0.0,0.063
2.2,0.0,0.066
2.2,0.0,0.068
2.2,0.0,0.071
2.2,0.0,0.056
2.2,0.0,0.059
2.2,0.0,0.061
2.2,0.0,0.063
2.2,0.0,0.065
2.2,0.0,0.066
2.2,0.0,0.068
2.2,0.0,0.071
2.2,0.0,0.073
2.2,0.0,0.07
2.2,0.0,0.072
2.2,0.0,0.074
2.2,0.0,0.076
2.2,0.0,0.078
2.2,0.0,0.08
2.2,0.0,0.086
2.2,0.0,0.088
2.2,0.0,0.09
2.2,0.0,0.092
2.2,0.0,0.093
2.2,0.0,0.08
2.2,0.0,0.082
2.2,0.0,0.084
2.2,0.0,0.086
2.2,0.0,0.088
2.2,0.0,0.09
2.2,0.0,0.092
2.2,0.0,0.094
2.2,0.0,0.095
2.2,0.0,0.098
2.2,0.0,0.094
2.2,0.0,0.096
2.2,0.0,0.098
2.2,0.0,0.1
2.2,0.0,0.102
2.2,0.0,0.104
2.2,0.0,0.106
2.2,0.0,0.108
2.2,0.0,0.11
2.2,0.0,0.113
2.2,0.0,0.103
2.2,0.0,0.106
2.2,0.0,0.1
2.2,0.0,0.103
2.2,0.0,0.104
2.2,0.0,0.106
2.2,0.0,0.108
2.2,0.0,0.11
2.2,0.0,0.112
2.2,0.0,0.115
2.2,0.0,0.116
2.2,0.0,0.119
2.2,0.0,0.12
2.2,0.0,0.122
2.2,0.0,0.124
2.2,0.0,0.126
2.2,0.0,0.128
2.2,0.0,0.13
2.2,0.0,0.118
2.2,0.0,0.109
2.2,0.0,0.111
2.2,0.0,0.113
2.2,0.0,0.115
2.2,0.0,0.117
2.2,0.0,0.118
2.2,0.0,0.12
2.2,0.0,0.122
2.2,0.0,0.124
2.2,0.0,0.126
2.2,0.0,0.119
2.2,0.0,0.121
2.2,0.0,0.123
2.2,0.0,0.125
2.2,0.0,0.127
2.3,0.043,0.122
2.3,0.0,0.124
2.3,0.0,0.126
2.3,0.0,0.129
2.3,0.0,0.131
2.3,0.0,0.133
2.3,0.0,0.136
2.3,0.0,0.138
2.3,0.0,0.141
2.3,0.0,0.143
2.3,0.0,0.145
2.3,0.0,0.148
2.3,0.0,0.15
2.3,0.0,0.153
2.3,0.0,0.159
2.3,0.0,0.159
2.3,0.0,0.161
2.3,0.0,0.164
2.3,0.0,0.167
2.3,0.0,0.169
2.3,0.0,0.171
2.3,0.0,0.173
2.3,0.0,0.176
2.3,0.0,0.178
2.3,0.0,0.181
2.3,0.0,0.18
2.3,0.0,0.182
2.3,0.0,0.185
2.3,0.0,0.187
2.3,0.0,0.189
2.3,0.0,0.191
2.3,0.0,0.194
2.3,0.0,0.191
2.3,0.0,0.193
2.3,0.0,0.196
2.3,0.0,0.178
2.3,0.0,0.18
2.3,0.0,0.183
2.3,0.0,0.185
2.3,0.0,0.188
2.3,0.0,0.189
2.3,0.0,0.192
2.3,0.0,0.194
2.3,0.0,0.197
2.3,0.0,0.199
2.3,0.0,0.198
2.3,0.0,0.2
2.3,0.0,0.203
2.3,0.0,0.206
